Time,Latitude,Longitude,Unit,Operator,Technology,Browsing Duration,Download Duration,IP Throughput,Access Duration,Time To First Byte,Kbytes In First Second,Round Trip Time (RTT),Size Of Webpage,Number of Redirections,Browser,Page Complete Criterion,Number of Resources,Number of Resources not loaded,Number of Images,APN,Primary DNS,IP,Resolved Target IP,Host,Protocol,Operation,AP Type,AP Profile Name,Test Name,Direction,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap
2025-11-22 16:15:36.749000-05:00,41.698829,-86.233373,QualiPoc_361786,AT&T,LTE,,,,1208.0,3935.0,63.60426825642246,238.0,,2,Android 14 - WebView 117.0.5938.60,Page download completed,14,0,0,enhancedphone,,2600:0382:2F26:EDEB:507E:67BC:8B87:3AE8,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,instagram.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Failed,Bowl,a0654bd3,AT&T,NR-NSA,,Bowl
2025-11-22 16:15:49.500000-05:00,41.698833,-86.233377,QualiPoc_361786,AT&T,LTE,11.574,2.786,5220.086145010769,608.0,6076.0,326.70005262007714,37.0,1817.895,2,Android 14 - WebView 117.0.5938.60,Page download completed,53,0,0,enhancedphone,,10.135.50.61,23.48.99.79,tiktok.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,a0654bd3,AT&T,LTE,,Bowl
2025-11-22 16:15:58.940000-05:00,41.698836,-86.233376,QualiPoc_361786,AT&T,LTE,8.292,4.949,2181.250353606792,1078.0,1379.0,191.9519300801162,60.0,1349.376,2,Android 14 - WebView 117.0.5938.60,Page download completed,55,0,11,enhancedphone,,2600:0382:2F26:EDEB:507E:67BC:8B87:3AE8,2A03:2880:F357:0006:FACE:B00C:0000:14C9,facebook.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,a0654bd3,AT&T,LTE,,Bowl
2025-11-22 16:17:30.175000-05:00,41.698837,-86.233385,QualiPoc_361786,AT&T,LTE,,,,884.0,1070.0,5.239478889849453,91.0,,1,Android 14 - WebView 117.0.5938.60,Page download completed,169,0,37,enhancedphone,,2600:0382:2F26:EDEB:507E:67BC:8B87:3AE8,2600:141F:4000:058A:0000:0000:0000:3134,ncaa.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Failed,Bowl,a0654bd3,AT&T,LTE,,Bowl
2025-11-22 16:17:34.131000-05:00,41.698159,-86.232981,QualiPoc_396840,Verizon,LTE,3.346,0.403,81917.6972704712,276.0,514.0,1459.0466034576368,30.0,4126.604,2,Android 14 - WebView 117.0.5938.60,Page download completed,39,0,5,VZWINTERNET,,2600:1008:B083:C2DD:0DBB:CC6D:E691:89F7,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,instagram.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:17:41.389000-05:00,41.698838,-86.233382,QualiPoc_361786,AT&T,LTE,,,,,,,571.0,,0,Android 14 - WebView 117.0.5938.60,Page download completed,0,0,0,enhancedphone,,10.135.50.61,23.61.88.158,sports.yahoo.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Failed,Bowl,a0654bd3,AT&T,LTE,,Bowl
2025-11-22 16:17:43.461000-05:00,41.69817,-86.232943,QualiPoc_396840,Verizon,LTE,8.111,1.988,12616.1167002012,482.0,688.0,412.9519795741162,35.0,3135.105,2,Android 14 - WebView 117.0.5938.60,Page download completed,126,0,6,VZWINTERNET,,100.82.22.121,23.51.25.77,tiktok.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:17:49.005000-05:00,41.698218,-86.23292,QualiPoc_396840,Verizon,LTE,4.301,3.268,2725.44186046512,282.0,638.0,299.0233837836904,50.0,1113.343,2,Android 14 - WebView 117.0.5938.60,Page download completed,55,0,11,VZWINTERNET,,2600:1008:B083:C2DD:0DBB:CC6D:E691:89F7,2A03:2880:F366:0006:FACE:B00C:0000:14C9,facebook.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:18:04.817000-05:00,41.698188,-86.233026,QualiPoc_396840,Verizon,LTE,14.574,2.108,22312.6641366224,290.0,490.0,409.7330241338398,36.0,5879.387,1,Android 14 - WebView 117.0.5938.60,Page download completed,266,0,76,VZWINTERNET,,2600:1008:B083:C2DD:0DBB:CC6D:E691:89F7,2600:1407:3C00:0998:0000:0000:0000:3134,ncaa.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:18:08.777000-05:00,41.698196,-86.232988,QualiPoc_396840,Verizon,LTE,2.798,0.782,26219.82608695656,204.0,412.0,1110.433881433008,35.0,2562.988,1,Android 14 - WebView 117.0.5938.60,Page download completed,102,0,4,VZWINTERNET,,2600:1008:B083:C2DD:0DBB:CC6D:E691:89F7,2001:4998:0060:0807:0000:0000:0000:0002,sports.yahoo.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:19:45.539000-05:00,41.698193,-86.232979,QualiPoc_396840,Verizon,LTE,1.884,0.047,1959737.19148936,86.0,201.0,6660.906027843604,17.0,11513.456,2,Android 14 - WebView 117.0.5938.60,Page download completed,39,0,5,VZWINTERNET,,10.12.75.232,57.144.204.192,instagram.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6295.0,Concourse
2025-11-22 16:19:49.584000-05:00,41.698163,-86.232942,QualiPoc_396840,Verizon,LTE,2.911,0.381,94643.989501312,230.0,369.0,1761.4155037014843,17.0,4507.42,2,Android 14 - WebView 117.0.5938.60,Page download completed,131,0,5,VZWINTERNET,,10.12.75.232,23.209.94.84,tiktok.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6295.0,Concourse
2025-11-22 16:19:53.513000-05:00,41.698153,-86.232928,QualiPoc_396840,Verizon,LTE,2.765,2.507,3505.68488232948,,,,11.0,1098.594,2,Android 14 - WebView 117.0.5938.60,Page download completed,55,0,11,VZWINTERNET,,10.12.75.232,57.144.204.6,facebook.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6295.0,Concourse
