Time,Latitude,Longitude,Unit,Operator,Technology,Service,Action,Direction,Host,Resolved Target IP,Duration,Application Throughput,IP Throughput,Max IP Throughput,IP Throughput DL,Max IP Throughput DL,IP Throughput UL,Max IP Throughput UL,Bytes Transferred DL,Bytes Transferred UL,Test Name,Direction.1,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap
2025-11-22 16:18:11.660000-05:00,41.698832,-86.233387,QualiPoc_361786,AT&T,LTE,Instagram,Post Picture,SEND,,172.26.38.2,,,,,,,,,,999378.0,Instagram,Send,System Release,Bowl,a0654bd3,AT&T,LTE,,Bowl
2025-11-22 16:18:29.479000-05:00,41.698189,-86.232993,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,14.04,569.296,383.016,1300.84,3488.248,11955.048,383.016,1300.84,,999114.0,Instagram,Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:20:20.025000-05:00,41.698187,-86.232979,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,57.144.204.192,5.316,1503.467,936.392,8151.224,17869.32,53131.112,936.392,8151.224,,999054.0,Instagram,Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6295.0,Concourse
2025-11-22 16:20:33.093000-05:00,41.698831,-86.233381,QualiPoc_361786,AT&T,LTE,Instagram,Post Picture,SEND,,,2.192,3646.15,0.0,0.0,0.0,0.0,0.0,0.0,,999045.0,Instagram,Send,Completed,Bowl,a0654bd3,AT&T,LTE,,Bowl
2025-11-22 16:22:11.815000-05:00,41.697958,-86.234545,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,6.781,1179.012,1038.904,3533.376,18495.864,39785.208,1038.904,3533.376,,999360.0,Instagram,Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 16:23:12.993000-05:00,41.698871,-86.232966,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,57.144.204.192,5.448,1467.345,572.832,4006.912,16682.752,26398.936,572.832,4006.912,,999262.0,Instagram,Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6055.0,Concourse
2025-11-22 16:24:20.461000-05:00,41.697954,-86.234532,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,57.144.204.192,,,,,,,,,,999040.0,Instagram,Send,Failed,Bowl,64957d65,Wi-Fi 6,NR,6215.0,Bowl
2025-11-22 16:26:05.967000-05:00,41.698888,-86.232942,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,,,,,,,,,,999081.0,Instagram,Send,System Release,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:26:10.911000-05:00,41.698844,-86.233083,QualiPoc_361786,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,,,,,,,,,,999496.0,Instagram,Send,System Release,Bowl,a0654bd3,AT&T,NR-NSA,,Bowl
2025-11-22 16:27:22.281000-05:00,41.697955,-86.234691,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,5.899,1354.875,1899.688,5811.784,4928.744,18493.832,1899.688,5811.784,,999051.0,Instagram,Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
