Time,Latitude,Longitude,Collection,Unit,Operator,Technology,Data Test,Data Test Action,Direction,Host,Resolved Target IP,Duration,Application Throughput,IP Throughput,Max IP Throughput,IP Throughput DL,Max IP Throughput DL,IP Throughput UL,Max IP Throughput UL,Bytes Transferred DL,Bytes Transferred UL,Test Name,Direction.1,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap,carrier_original
2026-02-26 11:25:54.555000-05:00,41.697989,-86.234507,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,129.134.149.160,4.901,1631.212,2059.336,13774.824,29022.2,63532.776,2059.336,13774.824,,999321.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6375.0,Bowl,T-Mobile
2026-02-26 11:27:12.787000-05:00,41.698059,-86.234443,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,5.141,1554.834,792.384,7985.296,2463.72,3889.832,792.384,7985.296,,999175.0,Instagram,Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 11:28:11.667000-05:00,41.697994,-86.234466,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,5.862,1363.651,1153.824,7162.856,11466.032,24137.944,1153.824,7162.856,,999215.0,Instagram,Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 11:31:18.640000-05:00,41.697989,-86.23469,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,4.519,1768.478,1512.816,11575.544,21127.68,28836.792,1512.816,11575.544,,998969.0,Instagram,Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 11:31:34.281000-05:00,41.697977,-86.234462,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,5.202,1537.09,1034.488,8312.04,2934.64,4671.64,1034.488,8312.04,,999493.0,Instagram,Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 11:33:53.402000-05:00,41.697991,-86.234688,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,57.144.204.192,5.648,1415.775,1460.288,5852.712,27639.8,45357.576,1460.288,5852.712,,999537.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6355.0,Bowl,T-Mobile
2026-02-26 11:34:13.321000-05:00,41.697986,-86.234471,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,142.251.211.42,6.543,1221.454,196.688,879.096,23767.84,46030.424,196.688,879.096,,998997.0,Instagram,Send,Completed,Bowl,fbd516f0,Wi-Fi 6,LTE,5975.0,Bowl,AT&T
2026-02-26 11:34:23.469000-05:00,41.697985,-86.234417,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,57.144.204.192,5.293,1510.466,1460.256,9184.536,27881.304,41364.728,1460.256,9184.536,,999362.0,Instagram,Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6375.0,Bowl,Verizon
2026-02-26 11:36:22.581000-05:00,41.698378,-86.234677,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,129.134.149.160,7.402,1080.084,1115.616,7951.048,31720.016,74515.448,1115.616,7951.048,,999348.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6355.0,Bowl,T-Mobile
2026-02-26 11:36:22.585000-05:00,41.697986,-86.234467,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,5.217,1531.685,939.56,7565.72,2820.696,5001.128,939.56,7565.72,,998850.0,Instagram,Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 11:36:59.483000-05:00,41.697988,-86.23444,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,5.228,1528.669,594.208,4511.312,5451.536,24469.52,594.208,4511.312,,998985.0,Instagram,Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 11:38:26.510000-05:00,41.698382,-86.234675,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,5.236,1526.379,621.232,4797.744,9594.896,20613.384,621.232,4797.744,,999015.0,Instagram,Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 11:41:09.595000-05:00,41.698387,-86.234435,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,6.376,1253.535,136.328,689.52,10320.592,23805.016,136.328,689.52,,999067.0,Instagram,Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 11:43:21.659000-05:00,41.698337,-86.234489,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,57.144.204.192,4.647,1720.632,1070.008,8115.392,3741.6,19123.36,1070.008,8115.392,,999472.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6675.0,Bowl,T-Mobile
2026-02-26 11:46:05.494000-05:00,41.697999,-86.234695,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,4.761,1678.076,244.856,855.792,13249.304,27364.224,244.856,855.792,,998665.0,Instagram,Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 11:46:14.134000-05:00,41.697983,-86.234686,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,5.443,1468.743,1007.4,8236.592,3364.432,4737.048,1007.4,8236.592,,999296.0,Instagram,Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 11:47:50.786000-05:00,41.69799,-86.23469,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,57.144.204.192,5.638,1417.742,888.832,8144.456,19860.464,51218.816,888.832,8144.456,,999154.0,Instagram,Send,Completed,Bowl,fbd516f0,Wi-Fi 6,LTE,5975.0,Bowl,AT&T
2026-02-26 11:48:08.629000-05:00,41.698461,-86.234501,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,129.134.149.160,5.795,1379.163,1006.144,8182.528,22903.968,47786.512,1006.144,8182.528,,999031.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6675.0,Bowl,T-Mobile
2026-02-26 11:50:16.845000-05:00,41.698457,-86.234461,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,7.797,1025.255,920.336,12839.456,9713.504,30575.832,920.336,12839.456,,999239.0,Instagram,Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 11:51:00.485000-05:00,41.698341,-86.234692,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,6.413,1246.129,619.272,6088.432,10664.584,24400.92,619.272,6088.432,,998928.0,Instagram,Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 11:51:29.308000-05:00,41.698353,-86.234694,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,6.681,1196.603,744.304,8669.12,3501.8,5535.392,744.304,8669.12,,999313.0,Instagram,Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
