Time,Latitude,Longitude,Collection,Unit,Operator,Technology,Send Duration,Delivery Duration,Start Time,Receive Time,Transmission Status,Delivery Status,Delivery Notification,Action Type,File Size,Measurement Name,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap,carrier_original
2026-02-26 11:25:58.255000-05:00,41.697984,-86.234509,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,0.354,1.346,2026-02-26 11:25:56.110,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6375.0,Bowl,T-Mobile
2026-02-26 11:26:08.882000-05:00,41.697981,-86.234498,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,1.491,2.423,2026-02-26 11:26:05.789,,Successful,Successful,Enabled,Send Picture,999215.0,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6375.0,Bowl,T-Mobile
2026-02-26 11:27:16.725000-05:00,41.698059,-86.234443,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,0.303,2.211,2026-02-26 11:27:14.247,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 11:27:52.932000-05:00,41.698061,-86.234444,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,,,2026-02-26 11:27:23.245,,Failed,Failed,Enabled,Send Picture,999493.0,WhatsApp Send,Failed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 11:28:14.755000-05:00,41.697994,-86.234465,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,0.3,0.701,2026-02-26 11:28:13.315,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 11:28:24.798000-05:00,41.698013,-86.234455,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,1.4,1.456,2026-02-26 11:28:22.588,,Successful,Successful,Enabled,Send Picture,998969.0,WhatsApp Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 11:31:21.868000-05:00,41.697989,-86.23469,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,0.279,0.873,2026-02-26 11:31:20.345,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 11:31:32.203000-05:00,41.69799,-86.234698,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,1.446,1.681,2026-02-26 11:31:29.804,,Successful,Successful,Enabled,Send Picture,999537.0,WhatsApp Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 11:31:37.747000-05:00,41.697977,-86.234462,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,0.282,1.828,2026-02-26 11:31:35.599,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 11:31:46.923000-05:00,41.697976,-86.234462,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,1.185,2.164,2026-02-26 11:31:44.471,,Successful,Successful,Enabled,Send Picture,998997.0,WhatsApp Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 11:33:56.696000-05:00,41.697991,-86.234688,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,0.321,0.795,2026-02-26 11:33:54.999,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6355.0,Bowl,T-Mobile
2026-02-26 11:34:07.156000-05:00,41.697991,-86.234689,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,1.473,1.905,2026-02-26 11:34:04.520,,Successful,Successful,Enabled,Send Picture,999348.0,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6355.0,Bowl,T-Mobile
2026-02-26 11:34:17.557000-05:00,41.697986,-86.23447,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,0.343,2.426,2026-02-26 11:34:14.822,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,fbd516f0,Wi-Fi 6,LTE,5975.0,Bowl,AT&T
2026-02-26 11:34:27.737000-05:00,41.697986,-86.23447,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,1.22,3.231,2026-02-26 11:34:24.223,,Successful,Successful,Enabled,Send Picture,998850.0,WhatsApp Send,Completed,Bowl,fbd516f0,Wi-Fi 6,LTE,5975.0,Bowl,AT&T
2026-02-26 11:34:28.119000-05:00,41.697985,-86.234416,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,0.48,2.374,2026-02-26 11:34:25.125,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6375.0,Bowl,Verizon
2026-02-26 11:34:37.647000-05:00,41.697986,-86.234417,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,1.082,1.518,2026-02-26 11:34:35.485,,Successful,Successful,Enabled,Send Picture,998985.0,WhatsApp Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6375.0,Bowl,Verizon
2026-02-26 11:36:26.585000-05:00,41.697985,-86.234463,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,0.307,2.171,2026-02-26 11:36:24.121,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 11:36:27.105000-05:00,41.698378,-86.234676,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,0.317,1.893,2026-02-26 11:36:24.382,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6355.0,Bowl,T-Mobile
2026-02-26 11:36:36.134000-05:00,41.697985,-86.234462,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,1.288,2.59,2026-02-26 11:36:33.300,,Successful,Successful,Enabled,Send Picture,999296.0,WhatsApp Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 11:36:37.379000-05:00,41.698378,-86.234674,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,1.38,1.861,2026-02-26 11:36:34.728,,Successful,Successful,Enabled,Send Picture,999015.0,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6355.0,Bowl,T-Mobile
2026-02-26 11:37:03.249000-05:00,41.697988,-86.23444,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,0.354,1.52,2026-02-26 11:37:01.089,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 11:37:12.502000-05:00,41.697987,-86.234436,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,1.163,1.283,2026-02-26 11:37:10.640,,Successful,Successful,Enabled,Send Picture,998665.0,WhatsApp Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
